StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ic,prolific_id,att_1,att_2,firm_resp_1,human_resp_1,firm_liable_1,human_liable_1,reason,comp_3,comp_1,comp_2,automation,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,education,education_8_TEXT,ai_knowledge_1,workerID,hitID,assignmentId,label
2024-11-13 12:57:57,2024-11-13 13:01:22,0,99.24.218.253,100,205,1,2024-11-13 13:01:22,R_5meltCQBt59PlX6,,,,,35.2916,-80.8201,anonymous,EN,1,666cad20b467bfec0cc373a9,2,5,84,98,75,89,"I think the human driver is more liable; unless the copilot is advertised as being fully hands-free, in which case the lines are more blurred.",1,2,4,4,2,,3,,29,1,,60,,,,Copilot
2024-11-13 12:57:25,2024-11-13 13:02:05,0,173.16.112.34,100,279,1,2024-11-13 13:02:05,R_79uFbGOvf53Oblg,,,,,33.1922,-111.5318,anonymous,EN,1,656615b432984a1b0ea3273f,2,5,70,82,100,82,"Even though there is the option for a copilot, as long as they human is sitting behind the steering wheel they are personally still responsible.",1,2,4,4,2,,2,,46,3,,51,,,,Copilot
2024-11-13 12:57:14,2024-11-13 13:02:59,0,72.22.117.224,100,344,1,2024-11-13 13:02:59,R_3I4ae3zkewX54cL,,,,,36.5212,-86.0264,anonymous,EN,1,66d9edfb2b46f520118ea289,2,5,65,77,61,90,The human driver should always pay attention.,1,1,4,4,2,,3,,45,1,,46,,,,Autopilot
2024-11-13 13:00:21,2024-11-13 13:03:11,0,64.222.248.78,100,169,1,2024-11-13 13:03:11,R_3zShi8kdiJHkFmF,,,,,42.8823,-72.4508,anonymous,EN,1,629e1dcac03690dc02e2859c,2,5,0,100,0,100,"The copilot option is great as a potential failsafe, but the drive should still be alert and aware. The option is not meant to let you completely check out from driving from my understanding.",1,2,4,4,1,,3,,31,5,,75,,,,Copilot
2024-11-13 13:01:12,2024-11-13 13:04:01,0,71.176.64.205,100,169,1,2024-11-13 13:04:02,R_10YnGjS587OJDrj,,,,,43.1493,-76.2221,anonymous,EN,1,643938b25859961c24ec8ae2,2,5,9,29,72,100,In reality the human driver is likely at fault because there are no such thing as consumer protections in America whatsoever anymore,1,2,4,2,1,,3,,30,4,,35,,,,Autopilot
2024-11-13 13:01:38,2024-11-13 13:04:40,0,131.93.146.161,100,181,1,2024-11-13 13:04:41,R_1EbBbAsucXmfRnw,,,,,46.4525,-90.1577,anonymous,EN,1,5623f6afed6e5a000bc7f219,2,5,80,97,80,90,"I feel the human is, as at the end of the day, its still the human responsibility. ",1,2,4,5,1,,3,,30,1,,10,,,,Autopilot
2024-11-13 12:59:31,2024-11-13 13:05:01,0,69.58.122.123,100,329,1,2024-11-13 13:05:02,R_1iZmK0NVBCdXv4B,,,,,39.9914,-83.0034,anonymous,EN,1,5c1a7f152a85450001a876e0,2,5,61,57,85,56,The company is. The Autopilot should work without interference from the driver.,1,1,4,4,1,,1,,56,4,,25,,,,Autopilot
2024-11-13 13:02:31,2024-11-13 13:05:10,0,172.3.248.219,100,158,1,2024-11-13 13:05:11,R_1P53M8FQIT0maGg,,,,,29.7978,-90.8097,anonymous,EN,1,669829e41f4999ca1eae5fd1,2,5,70,79,46,92,Ultimately the driver is in full control and should be responsible but the company sets a standard for a product which ultimately couldn't be trusted,1,2,4,5,2,,3,,27,4,,18,,,,Copilot
2024-11-13 13:03:05,2024-11-13 13:06:41,0,71.219.25.107,100,215,1,2024-11-13 13:06:42,R_3Xof7SqoqVldqX4,,,,,37.5019,-78.2581,anonymous,EN,1,65945f6ff4475ea039466d6f,2,5,30,100,0,100,"I think the human driver, who took his eyes off the road, is 100% liable for the accident. He is the one who failed to stop at the stop sign. ",2,2,4,2,2,,3,,23,5,,75,,,,Copilot
2024-11-13 13:05:56,2024-11-13 13:08:05,0,166.198.21.74,100,128,1,2024-11-13 13:08:06,R_31t6N7c1DdRv5cP,,,,,40.7428,-73.9712,anonymous,EN,1,668c430900cdd639aae2b7d7,2,5,31,77,53,72,"I think ultimately it’s the human responsible for trusting the technology and then not paying attention. ",1,1,4,3,2,,3,,25,4,,70,,,,Copilot
2024-11-13 13:06:00,2024-11-13 13:08:35,0,97.81.85.172,100,155,1,2024-11-13 13:08:36,R_3HzvxDgFHl7MxuV,,,,,33.9837,-84.1487,anonymous,EN,1,5acd612efa3b4e000173d769,2,5,24,70,30,74,Because the human driver was looking down at their phone.,1,2,4,4,1,,2,,23,3,,60,,,,Autopilot
2024-11-13 13:05:15,2024-11-13 13:08:44,0,72.69.123.194,100,209,1,2024-11-13 13:08:45,R_6zSD661LyhbyKJ9,,,,,40.7584,-73.7973,anonymous,EN,1,66977349fca27ef8b010e60f,2,5,80,60,80,30,"I believe that the company is liable, as it did not work as intended. Even if the human driver was paying attention it required split second decision making which could still result in a crash.",2,2,4,5,1,,2,,18,1,,70,,,,Copilot
2024-11-13 12:57:37,2024-11-13 13:09:14,0,173.16.175.142,100,696,1,2024-11-13 13:09:14,R_60oHX5JeBeHWQ1z,,,,,31.7211,-83.2395,anonymous,EN,1,658301f0c304eb2e12fdcdf5,2,5,0,100,83,100,"The human is the most responsible because no matter what your eyes shouldn't leave the road. especially to read or respond to texts. ",1,2,4,3,2,,1,,33,3,,46,,,,Copilot
2024-11-13 13:06:57,2024-11-13 13:09:38,0,166.181.89.142,100,161,1,2024-11-13 13:09:39,R_1JMYGDEXaWUvYul,,,,,41.6021,-93.6124,anonymous,EN,1,664650574e07f7fd187840e9,2,5,81,100,70,100,I think the human driver is more liable because he should not just rely on the copilot.,1,2,4,4,2,,3,,21,3,,49,,,,Copilot
2024-11-13 13:07:57,2024-11-13 13:10:19,0,50.30.192.28,100,141,1,2024-11-13 13:10:19,R_57HixemHy6vHGgh,,,,,30.6032,-96.3136,anonymous,EN,1,65dd00763076d70c85c24b1b,2,5,84,88,73,85,"The human mainly because they are still supposed to be paying attention, and checking your phone while driving is unsafe",1,2,4,3,1,,2,,22,4,,62,,,,Copilot
2024-11-13 13:03:51,2024-11-13 13:10:25,0,47.48.80.110,100,393,1,2024-11-13 13:10:25,R_3M4qKMWbhGiceZr,,,,,39.5381,-119.8365,anonymous,EN,1,651db0e879956c05599307c6,2,5,62,66,83,60,"The autopilot system did not function as intended, therefore it is more responsible.",1,2,4,4,1,,3,,32,4,,81,,,,Autopilot
2024-11-13 13:02:50,2024-11-13 13:10:50,0,99.121.62.157,100,480,1,2024-11-13 13:10:51,R_7sars9IYLhsK8F0,,,,,37.5625,-122.0004,anonymous,EN,1,66900da11d156c9936f6ced0,2,5,56,54,59,46,"The driver because they have to pay attention to the road. ",1,2,4,3,2,,2,,22,4,,43,,,,Autopilot
2024-11-13 13:04:32,2024-11-13 13:11:03,0,35.151.214.162,100,390,1,2024-11-13 13:11:03,R_7KDzWMiWbHHWYdA,,,,,41.1383,-104.8016,anonymous,EN,1,652a95032d8a42975cc32c58,2,5,90,20,92,20,I feel like the autopilot sensor failed to indicate a stop sign therefore Aeon vehicle has a faulty autopilot and is unsafe.,1,1,4,5,1,,4,,38,1,,85,,,,Autopilot
2024-11-13 13:05:38,2024-11-13 13:11:35,0,104.60.183.19,100,357,1,2024-11-13 13:11:36,R_1sZKlMLfwrtoDQJ,,,,,41.7212,-87.7037,anonymous,EN,1,66549eb4c1b441b6155de12b,2,5,53,84,54,83,"The human driver is held with the most responsibility. It is his possession. However Aeon does share part liability because the human driver is trusting the auto-pilot device to operate his vehicle. ",1,2,4,2,2,,3,,47,3,,54,,,,Autopilot
2024-11-13 13:09:56,2024-11-13 13:12:10,0,76.139.145.40,100,133,1,2024-11-13 13:12:10,R_1eDXxrqaAphefIJ,,,,,42.6411,-83.045,anonymous,EN,1,66588b6663c98bc553bd38a1,2,5,35,88,30,92,"The driver is more liable for the accident because even when you have on a system, you still need to be paying attention. ",1,2,4,2,2,,3,,24,3,,25,,,,Copilot
2024-11-13 13:05:11,2024-11-13 13:12:42,0,45.21.74.176,100,450,1,2024-11-13 13:12:42,R_7oj7IopDKOz8sni,,,,,42.1212,-87.8405,anonymous,EN,1,62fdda3096b651e5beacf456,2,5,71,51,89,51,The company is responsible because they created the technology and profited off of it.,1,2,4,5,2,,3,,31,5,,29,,,,Copilot
2024-11-13 13:07:36,2024-11-13 13:13:08,0,130.166.192.121,100,332,1,2024-11-13 13:13:09,R_3Jo8G65LpfqGGjv,,,,,34.236,-118.5235,anonymous,EN,1,5cfb459229a6c2001764e10d,2,5,75,60,75,60,"I think in some respects both are liable for the accident, but if a car's ""autopilot"" mode is on, it should not require human input to NOT get into a car accident. At the very least, I would expect an autopilot feature to avoid crashing the car, even at the expense of overall speed or efficiency.",1,2,4,1,1,,3,,22,3,,80,,,,Autopilot
2024-11-13 13:09:54,2024-11-13 13:13:31,0,172.59.75.219,100,217,1,2024-11-13 13:13:32,R_5eSwdOAiXNGzJUB,,,,,39.0405,-94.4903,anonymous,EN,1,663e4e2cdf3bf5f7333174a7,2,5,67,73,65,85,"I believe both the human driver and company are liable however, the driver should always still be aware of the road and surroundings.   ",1,2,4,5,2,,3,,34,2,,77,,,,Copilot
2024-11-13 13:10:44,2024-11-13 13:13:37,0,173.71.220.102,100,173,1,2024-11-13 13:13:37,R_7X8JOlBUmZ1Qmop,,,,,39.0448,-77.6042,anonymous,EN,1,55ad1d55fdf99b4c8f9941d4,2,5,81,88,85,97,"I think the human is more responsible because technology is a tool which they need to monitor, and should have been aware they were approaching an intersection regardless.",1,2,4,3,2,,3,,40,4,,31,,,,Autopilot
2024-11-13 13:09:13,2024-11-13 13:14:27,0,75.190.232.241,100,313,1,2024-11-13 13:14:28,R_67kABKJ8ix3z6y0,,,,,35.5838,-80.864,anonymous,EN,1,663651ed011deef2451a52d6,2,5,72,39,62,63,"I believe the Autopilot is the cause of the accident, but I believe the driver is liable for employing and using the autopilot instead of his own self.",1,2,4,4,2,,3,,58,4,,40,,,,Autopilot
2024-11-13 13:12:19,2024-11-13 13:15:26,0,99.65.191.232,100,186,1,2024-11-13 13:15:26,R_6f9gYTV98OUButy,,,,,41.7167,-86.202,anonymous,EN,1,6349375c24575862a86987ac,2,5,0,100,0,100,Automation is not an excuse for ignorance. You're in the drivers seat. You pay attention.,2,2,4,3,1,,3,,39,3,,60,,,,Copilot
2024-11-13 13:13:47,2024-11-13 13:15:53,0,174.70.58.152,100,125,1,2024-11-13 13:15:53,R_740CANO8agrLx7V,,,,,41.155,-96.0325,anonymous,EN,1,6644f37947ff3c7c3f9bbca1,2,5,100,27,100,30,"The company is more responsible, the autopilot should be able to detect stop signs.",1,2,4,5,2,,3,,31,4,,9,,,,Autopilot
2024-11-13 13:13:19,2024-11-13 13:16:01,0,172.249.44.15,100,161,1,2024-11-13 13:16:01,R_74293uMqMlGHQ3u,,,,,33.9893,-118.089,anonymous,EN,1,6644fd6f64ae08e1ffa4e3e4,2,5,99,10,100,0,"You are trusting the company to get you to your destination and they are responsible for driving the vehicle ",2,2,4,4,2,,4,,28,4,,66,,,,Copilot
2024-11-13 13:12:25,2024-11-13 13:16:20,0,212.32.103.148,100,234,1,2024-11-13 13:16:20,R_5dRkR5V3jq2HYI1,,,,,37.751,-97.822,anonymous,EN,1,6686e72b762ad26de146f4db,2,5,73,67,36,67,The design of the car. The driver was not  keen to driving.,1,1,3,4,1,,3,,27,5,,71,,,,Copilot
2024-11-13 13:11:36,2024-11-13 13:16:45,0,71.95.98.146,100,309,1,2024-11-13 13:16:46,R_67UL9BJgf7izZDz,,,,,45.6056,-121.1807,anonymous,EN,1,65e18d62c5a884a634501922,2,5,100,0,100,0,The company has a faulty system in place.,2,1,4,5,1,,4,,28,4,,68,,,,Copilot
2024-11-13 13:14:34,2024-11-13 13:17:13,0,71.197.168.243,100,159,1,2024-11-13 13:17:13,R_6SxxnPM6sB4Y4sI,,,,,47.1112,-122.5897,anonymous,EN,1,65959374fad4e6a5a0efead7,2,5,70,100,75,91,"Auto pilot features are great, but ultimately still need to overridden or driven by a human. The human is the most at fault.",1,2,4,3,2,,3,,30,5,,19,,,,Copilot
2024-11-13 13:12:42,2024-11-13 13:17:35,0,73.68.54.164,100,292,1,2024-11-13 13:17:35,R_5UfdSxuovXUVvB7,,,,,42.7117,-71.1663,anonymous,EN,1,63ed2115f26baf8010950f68,2,5,66,90,30,89,"I believe the human driver to be at fault. This is because despite the features of driving assist, it is still ultimately the driver's responsibility to not be taking eyes or attention off the road.",1,2,4,2,1,,3,,23,4,,58,,,,Autopilot
2024-11-13 13:14:05,2024-11-13 13:17:37,0,75.64.202.224,100,211,1,2024-11-13 13:17:37,R_7dntcNivat02svU,,,,,35.1567,-89.9274,anonymous,EN,1,661e47e87d86f5629af43921,2,5,100,100,100,100,"I think that they are all equally responsible because the car was supposed use the CoPilot system, and the man was still supposed to be paying attention.",1,2,4,4,1,,3,,28,3,,80,,,,Copilot
2024-11-13 13:11:16,2024-11-13 13:17:40,0,50.89.193.28,100,383,1,2024-11-13 13:17:40,R_53eD8F23vwcGJyb,,,,,28.5978,-81.3024,anonymous,EN,1,65c12fb747aa1e88e5b58e34,2,5,72,100,100,100,"The company is more liable because at the end of the day it makes a car that's supposed to be able to drive for you, If it can do such it should also be able to stop nad detect stop signs ",1,2,4,6,2,,1,,31,4,,59,,,,Autopilot
2024-11-13 13:11:52,2024-11-13 13:17:59,0,67.243.106.233,100,366,1,2024-11-13 13:17:59,R_1KBbUPUkwbynKdw,,,,,41.4535,-74.4774,anonymous,EN,1,66338e921ab6b51fa5929b96,2,5,71,53,87,28,"Both are liable, but I think Aeon is more liable because it gave the human a false sense of security.",1,2,1,5,3,,2,,35,4,,58,,,,Copilot
2024-11-13 13:15:23,2024-11-13 13:18:07,0,75.136.101.6,100,163,1,2024-11-13 13:18:07,R_329haWvyhPxuMwa,,,,,34.9482,-82.1273,anonymous,EN,1,62d6e24cf74647ef51a16300,2,5,35,100,1,100,"I think that the human driver is more liable because ultimately they are responsible for what happens in the vehicle, regardless of how it is being driven.",1,2,4,5,1,,3,,33,3,,15,,,,Autopilot
2024-11-13 13:12:33,2024-11-13 13:18:51,0,68.107.14.136,100,377,1,2024-11-13 13:18:51,R_5iIcbWNRQNMvwI1,,,,,32.7405,-117.0935,anonymous,EN,1,5e06f83573d7240911990fc9,2,5,50,100,50,100,"While the company does advertise their car as having autopilot, ultimately it is up to the driver themselves to maintain control over the vehicle. You can't completely trust the autopilot program to essentially be able to drive you ""hands off"", and must remain vigilant to correct any errors that may occur.",1,2,4,5,1,,2,,28,3,,10,,,,Autopilot
2024-11-13 13:17:56,2024-11-13 13:20:07,0,208.38.231.103,100,131,1,2024-11-13 13:20:08,R_1HhRDWyQC7EsYNp,,,,,41.5356,-90.616,anonymous,EN,1,5fdd1030cbe069378caa7dab,2,5,62,76,55,66,"I think the human driver is slightly more liable, as he should have still been paying attention to the road even though he was using the copilot function.",1,2,4,6,2,,3,,23,3,,80,,,,Copilot
2024-11-13 13:14:38,2024-11-13 13:20:25,0,73.95.34.103,100,346,1,2024-11-13 13:20:26,R_3reQ0BGMYFf414V,,,,,38.7463,-104.7179,anonymous,EN,1,66b019ad2cb47fe93bbf64bb,2,5,51,70,70,50,"They are both liable, aeon is at fault and so is the human",1,2,4,4,2,,3,,46,5,,40,,,,Autopilot
2024-11-13 13:17:01,2024-11-13 13:20:29,0,76.31.18.40,100,207,1,2024-11-13 13:20:29,R_65oTIh2tqTPipqx,,,,,29.8772,-95.6938,anonymous,EN,1,662971aa8640cff3126e0f9e,2,5,80,80,100,92,the human is liable because he should not count on auto drive but the company is responsible as well for malfunction,1,2,4,3,2,,3,,25,1,,80,,,,Autopilot
2024-11-13 13:16:43,2024-11-13 13:20:30,0,69.117.200.72,100,226,1,2024-11-13 13:20:30,R_3rjGH2AsL3IOG1r,,,,,40.6739,-73.9358,anonymous,EN,1,612954380888e9ddd6ff0c6e,2,5,16,68,12,83,Aeon probably has a disclaimer that drivers need to keep their eyes on the road the whole time and the driver looked away to check his phone.,1,2,4,5,4,non binary,3,,26,7,,39,,,,Autopilot
2024-11-13 13:13:55,2024-11-13 13:20:31,0,40.137.114.224,100,395,1,2024-11-13 13:20:31,R_1a9XmtxOavXWlVX,,,,,37.1812,-79.6172,anonymous,EN,1,6504bce1aa6de20ee22b117b,2,5,80,80,80,80,"I think the human should have paid attention but if aeon supports the fact that their auto pilot is supposed to be able to avoid problems like this then I think they should also be responsible for their faulty product. ",1,2,4,5,2,,3,,26,3,,10,,,,Autopilot
2024-11-13 13:17:45,2024-11-13 13:20:32,0,98.180.45.19,100,166,1,2024-11-13 13:20:33,R_52z54f6OX9dshOu,,,,,29.6138,-82.386,anonymous,EN,1,654276147c2e0f0d120d9252,2,5,100,25,100,20,The driver was relying on the copilot to prevent accidents.,1,2,4,6,1,,3,,68,5,,70,,,,Copilot
2024-11-13 13:17:39,2024-11-13 13:20:45,0,163.118.182.246,100,185,1,2024-11-13 13:20:45,R_1aDGZ6mTfkQ6I8q,,,,,28.0318,-80.5958,anonymous,EN,1,66ed7cb7056bd25f21469d79,2,5,70,100,70,100,"The human driver, whether using autopilot or not, is still responsible for the safety of themselves and others around them while behind the wheel of an automobile.",1,2,4,4,1,,3,,22,3,,70,,,,Autopilot
2024-11-13 13:10:43,2024-11-13 13:20:47,0,17.230.89.72,100,603,1,2024-11-13 13:20:47,R_3DTfCw3rGn7tFFv,,,,,37.3209,-121.9126,anonymous,EN,1,65b269a17375606ff7095a4d,2,5,70,80,60,80,human driver is more liable because autopilot does not admonish the driver from all responsibilities on the road,1,2,4,2,2,,2,,26,4,,50,,,,Autopilot
2024-11-13 13:18:40,2024-11-13 13:21:02,0,68.255.145.112,100,142,1,2024-11-13 13:21:03,R_7BYjxQPcdUrbA2f,,,,,41.9211,-87.7032,anonymous,EN,1,63ea451d26e9af5be0b01d50,2,5,99,81,100,82,"It's an autonomous vehicle. The guy should have known that they still suck and he needed to pay attention, but it's the software that malfunctioned and ultimately caused the crash",1,2,4,6,1,,3,,31,4,,47,,,,Autopilot
2024-11-13 13:18:17,2024-11-13 13:21:13,0,142.147.51.21,100,175,1,2024-11-13 13:21:13,R_76hVzKCJg1byiRO,,,,,33.2124,-97.066,anonymous,EN,1,662d57d09714cf1c25756326,2,5,50,92,65,80,"If the human was in the car and was capable of driving then they are liable for the accident. ",1,1,4,5,1,,3,,48,3,,22,,,,Copilot
2024-11-13 13:18:00,2024-11-13 13:21:23,0,128.62.18.119,100,203,1,2024-11-13 13:21:24,R_3CTmjTyfg23joYJ,,,,,30.2887,-97.7398,anonymous,EN,1,66bc9ce2a628d64790214a60,2,5,50,91,50,90,"I think the company is mildly responsible for the marketing of the term ""autopilot,"" however the driver should be aware of the current limitations of AV's. I think it comes down to the promises/marketing material of the software by the company.",1,2,4,3,1,,3,,27,6,,50,,,,Autopilot
2024-11-13 13:21:07,2024-11-13 13:21:33,0,35.149.53.132,100,25,1,2024-11-13 13:21:33,R_1D6jMp1CjARezs6,,,,,33.784,-118.1854,anonymous,EN,1,603c30cc6aac099ca7f0b6b9,1,5,,,,,,,,,,,,,,,,,,,,,Copilot
2024-11-13 13:19:01,2024-11-13 13:22:05,0,73.90.22.194,100,183,1,2024-11-13 13:22:06,R_3LkxC0G3t2zCJf7,,,,,39.1061,-121.6159,anonymous,EN,1,614f23fabc0fcaa3cdfb9e05,2,5,99,100,100,70,"The company is more liable because they made the technology but the man carries responsibility also as he should be paying attention and looking at the road at all times ",1,2,4,4,2,,3,,48,3,,18,,,,Copilot
