"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","ic","prolific_id","att_1","att_2","comp_4","comp_1","comp_2","automation","firm_resp_1","human_resp_1","firm_liable_1","human_liable_1","reason","comp_3","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","education","education_8_TEXT","ai_knowledge_1","workerID","hitID","assignmentId","label","ad"
"2024-11-19 09:27:43","2024-11-19 09:32:14","0","Anonymized","100","270","1","2024-11-19 09:32:14","R_3NeaMgiQIq7qI6d","","","","","Anonymized","Anonymized","anonymous","EN","1","5c75fddeeaaa5700166eda46","2","5","1","2","4","5","70","61","69","93","The human driver is more liable for the accident because they actively still need to pay attention to the road. The human is still the active participant in the seat and when systems fail, the human is the back up. They bought the device and are responsible for stopping accidents.","2","2","","3","","28","4","","9","","","","Autopilot","yes"
"2024-11-19 09:27:38","2024-11-19 09:33:41","0","Anonymized","100","362","1","2024-11-19 09:33:41","R_3oa1TycydgJLIOJ","","","","","Anonymized","Anonymized","anonymous","EN","1","662c29521a4d878c27a664ef","2","5","1","2","4","5","26","65","30","70","Because as a driver you should always keep your eyes on the road","1","2","","3","","51","7","","35","","","","Autopilot","yes"
"2024-11-19 09:31:24","2024-11-19 09:34:19","0","Anonymized","100","174","1","2024-11-19 09:34:19","R_3fE62N2WXODrmJj","","","","","Anonymized","Anonymized","anonymous","EN","1","5f2150b3319efd2d619a356b","2","5","","2","4","5","75","70","50","80","I think the human driver is more liable for the accident because the human driver owns the vehicle and is technically the operator, even though the driver was not driving it himself. ","1","1","","3","","23","4","","25","","","","Autopilot","no"
"2024-11-19 09:29:51","2024-11-19 09:34:26","0","Anonymized","100","274","1","2024-11-19 09:34:26","R_7NyTeMUmP5aRKS1","","","","","Anonymized","Anonymized","anonymous","EN","1","66042d8fc8f0421abb8ecf06","2","5","","1","4","5","91","9","91","8","The man in the car has his copilot turned on.  I feel he is not responsible for the damages","1","2","","3","","61","3","","17","","","","Copilot","no"
"2024-11-19 09:31:15","2024-11-19 09:35:51","0","Anonymized","100","275","1","2024-11-19 09:35:52","R_526n42I6f7R1dws","","","","","Anonymized","Anonymized","anonymous","EN","1","666d99c91fd715d968e3b8a1","2","5","1","2","4","6","50","50","50","50","I think they are both liable because the term copilot assumes that at least 2 people are in charge of piloting the vehicle. ","1","2","","5","","44","3","","56","","","","Copilot","yes"
"2024-11-19 09:34:27","2024-11-19 09:38:21","0","Anonymized","100","233","1","2024-11-19 09:38:21","R_3CCZ9G3f0zgjDQF","","","","","Anonymized","Anonymized","anonymous","EN","1","66e03a2e649d835f33baa2f4","2","5","","2","4","6","51","51","51","51","They are both liable","2","2","","3","","64","3","","9","","","","Copilot","no"
"2024-11-19 09:34:10","2024-11-19 09:38:54","0","Anonymized","100","284","1","2024-11-19 09:38:55","R_7IuwnmVEmGCbpAK","","","","","Anonymized","Anonymized","anonymous","EN","1","66dd9dc06329804f2fdd78a0","2","5","","2","4","6","79","62","73","70","the company since they built and structure the car that way .","2","2","","2","","34","5","","44","","","","Autopilot","no"
"2024-11-19 09:31:26","2024-11-19 09:40:08","0","Anonymized","100","522","1","2024-11-19 09:40:09","R_1WJgwcg4WUYhMDk","","","","","Anonymized","Anonymized","anonymous","EN","1","6621daa87097db3620036531","2","5","1","2","4","6","40","70","40","60","I believe they are nearly equal in responsibility. If I am in an automated car, I would expect it to see the vehicle in front of me stop, as well as the stop sign. Additionally, I should be paying attention","1","2","","3","","61","1","","30","","","","Autopilot","yes"
"2024-11-19 09:35:06","2024-11-19 09:40:09","0","Anonymized","100","303","1","2024-11-19 09:40:10","R_10Tn24tm5aotIuM","","","","","Anonymized","Anonymized","anonymous","EN","1","558b20eefdf99b7dfdbac3c9","2","5","1","1","4","5","99","30","90","60","I think that the company is liable since the autopilot was switched on and the human relied on the autopilot to not have to pay attention.","1","2","","3","","64","3","","26","","","","Autopilot","yes"
"2024-11-19 09:31:20","2024-11-19 09:40:23","0","Anonymized","100","543","1","2024-11-19 09:40:24","R_5qVZVTo7aTRgaHW","","","","","Anonymized","Anonymized","anonymous","EN","1","5ee06d52012a213bff71f7fe","2","5","","1","4","6","100","100","100","100","human, distracted driving is a crime","1","1","","3","","32","3","","53","","","","Autopilot","no"
"2024-11-19 09:35:40","2024-11-19 09:40:31","0","Anonymized","100","291","1","2024-11-19 09:40:32","R_6sdqewY3DBf8LtC","","","","","Anonymized","Anonymized","anonymous","EN","1","636baffe0648f44e258655a2","2","5","","2","4","4","60","40","60","40","While the system was switched on, the human is the ultimate controller of the car.","1","1","","3","","62","4","","75","","","","Copilot","no"
"2024-11-19 09:35:30","2024-11-19 09:41:08","0","Anonymized","100","338","1","2024-11-19 09:41:08","R_2OB67qrVzCKV1p1","","","","","Anonymized","Anonymized","anonymous","EN","1","66378432a027fb1fb6b84995","2","5","1","2","4","5","75","70","74","65","Aeon will be more responsible because noone driving compare to huans","1","1","","1","","38","1","","32","","","","Copilot","yes"
"2024-11-19 09:36:06","2024-11-19 09:44:03","0","Anonymized","100","476","1","2024-11-19 09:44:03","R_3pamBIX4GQcHG26","","","","","Anonymized","Anonymized","anonymous","EN","1","66d09071e8c65b7f5debc3cd","2","5","","2","4","3","72","61","71","60","i think Aeon is a little bit more responsible as it should advise many disclaimers telling driver to still be qat the wheel ready to take control and not use the autopilot as a 100% driving model","1","1","","5","","21","3","","60","","","","Autopilot","no"
"2024-11-19 09:39:43","2024-11-19 09:44:08","0","Anonymized","100","265","1","2024-11-19 09:44:09","R_165XnZU4wYxjDvp","","","","","Anonymized","Anonymized","anonymous","EN","1","66428824568f3e0220abbe94","2","5","1","2","4","5","100","70","100","71","We know in the real world that humans believe the damnedest things about automation, and that companies take advantage of this in marketing. People do idiot things while driving Teslas, for instance. Knowing that someone is likely to be a low-information consumer means that you should build that in as a risk, but of course it's all greedy-grabs and scams. ","1","2","","3","","50","4","","50","","","","Copilot","yes"
"2024-11-19 09:39:47","2024-11-19 09:44:12","0","Anonymized","100","264","1","2024-11-19 09:44:12","R_7g7WGTE6VH1LoHv","","","","","Anonymized","Anonymized","anonymous","EN","1","66491123bad1ab6fd3b455c0","2","5","1","1","4","4","50","50","50","50","I believe they have equal blame. The Aeon Autopilot failed but the human still needs to be paying attention.","1","1","","3","","52","5","","60","","","","Autopilot","yes"
"2024-11-19 09:38:24","2024-11-19 09:44:15","0","Anonymized","100","351","1","2024-11-19 09:44:16","R_3vjiWGG2QCbKUzQ","","","","","Anonymized","Anonymized","anonymous","EN","1","5b086164d45f06000175fc26","2","5","","1","4","4","10","100","10","90","Aeon's copilot system is just an assistant for the driver. The human driver is still responsible for the main driving.","1","2","","3","","36","3","","30","","","","Copilot","no"
"2024-11-19 09:33:59","2024-11-19 09:44:23","0","Anonymized","100","624","1","2024-11-19 09:44:24","R_77kvS8VW3wjZ1qp","","","","","Anonymized","Anonymized","anonymous","EN","1","644329db047ca34e6f0e4697","2","5","1","1","4","4","88","27","86","15","It's the companies car. They are in charge of getting the passenger from point A to point B safely. The company is more liable","1","2","","1","","60","1","","21","","","","Copilot","yes"
"2024-11-19 09:38:18","2024-11-19 09:44:45","0","Anonymized","100","387","1","2024-11-19 09:44:46","R_5KOsB9SoB9hxu4I","","","","","Anonymized","Anonymized","anonymous","EN","1","66fe09bff7e944e286b87290","2","5","1","2","4","6","81","60","81","60","I think Aeon is more liable for the accident because it gave the driver a false sense of safety with it's claims of self driving.","1","2","","3","","41","1","","19","","","","Copilot","yes"
"2024-11-19 09:35:38","2024-11-19 09:45:07","0","Anonymized","100","569","1","2024-11-19 09:45:08","R_6lnjayIB6PoAmUK","","","","","Anonymized","Anonymized","anonymous","EN","1","6618988a32ca0206dece19d8","2","5","1","2","4","5","70","80","71","80","I believe they should equality be responsible. A company should not give false information regarding the their product. A human should never take their eyes off the road in  a moving vehicle","1","2","","4","","37","3","","20","","","","Autopilot","yes"
"2024-11-19 09:39:51","2024-11-19 09:45:11","0","Anonymized","100","319","1","2024-11-19 09:45:11","R_5fx1EQdCZZLzRKq","","","","","Anonymized","Anonymized","anonymous","EN","1","66a690a1c3f1ddfb55c81611","2","5","","2","4","4","80","20","80","20","The driver shouldn't look away. The co-pilot system didn't work.","1","2","","3","","53","4","","20","","","","Copilot","no"
"2024-11-19 09:41:48","2024-11-19 09:46:06","0","Anonymized","100","257","1","2024-11-19 09:46:06","R_3onEJpuN2mD1Udm","","","","","Anonymized","Anonymized","anonymous","EN","1","5ddbecafe2e08f000fd60e39","2","5","1","2","4","6","88","83","85","72","I think they are both liable. The company a bit more though because that shouldn't have happened. Driver should still stay aware though as well.","1","2","","1","","22","1","","29","","","","Autopilot","yes"
"2024-11-19 09:42:08","2024-11-19 09:46:21","0","Anonymized","100","253","1","2024-11-19 09:46:22","R_5bZVyM7kJlXIrhx","","","","","Anonymized","Anonymized","anonymous","EN","1","5ee28390402f7d77594514df","2","5","1","2","4","6","100","70","80","50","I think Aeon and the company is more liable since the autopilot system was switched on, so that control of the vehicle was no longer the responsibility of the driver.","1","1","","3","","40","2","","80","","","","Autopilot","yes"
"2024-11-19 09:39:07","2024-11-19 09:46:37","0","Anonymized","100","450","1","2024-11-19 09:46:37","R_7q53aLGqOyD2qhX","","","","","Anonymized","Anonymized","anonymous","EN","1","665fb825d1d2c73b73d9d7ad","2","5","","2","4","6","70","40","90","50","I believe that people feel too comfortable with autopilot and put too much confidence in it's ability to always control the car in appropriate ways. This is misleading information from the company and so the company is more liable. But any person should also be aware of the driving and act as if the autopilot could make a mistake. This is the human's fault. ","1","2","","3","","59","5","","8","","","","Autopilot","no"
"2024-11-19 09:42:08","2024-11-19 09:46:49","0","Anonymized","100","280","1","2024-11-19 09:46:50","R_6n9JLeOadUdlyKb","","","","","Anonymized","Anonymized","anonymous","EN","1","5e679b0a07df760364841651","2","5","1","2","4","6","75","100","75","100","The human driver should have been paying attention, and is the first line of defense, if you will. I will also say that the company is also to blame - the company has a responsibility to the drivers with this technology, especially if the car is full autonomous. ","1","2","","3","","33","4","","50","","","","Autopilot","yes"
"2024-11-19 09:42:35","2024-11-19 09:47:10","0","Anonymized","100","275","1","2024-11-19 09:47:11","R_1P4T2dYFgxT7Mmw","","","","","Anonymized","Anonymized","anonymous","EN","1","670e7844905a726b059609d5","2","5","","2","4","4","0","100","86","70","The Human is mostly liable as they were in control over the vehicle. The human could sue Aeon the company for the product not working.","1","1","","3","","18","1","","41","","","","Copilot","no"
"2024-11-19 09:42:40","2024-11-19 09:47:31","0","Anonymized","100","291","1","2024-11-19 09:47:32","R_3qJT4SfycgtPqPc","","","","","Anonymized","Anonymized","anonymous","EN","1","6643a9772a87fbee29d25327","2","5","","2","4","3","20","90","19","91","The human is more responsible, because there is always a chance that technology can be faulty. It is important for the human to keep their eyes on the road still.","1","2","","3","","32","4","","20","","","","Copilot","no"
"2024-11-19 09:44:36","2024-11-19 09:47:40","0","Anonymized","100","184","1","2024-11-19 09:47:41","R_3drJM7OPgDaheUi","","","","","Anonymized","Anonymized","anonymous","EN","1","60fd3f7b8793f1e331361efc","2","5","1","2","4","6","66","0","100","51","The liability for the accident may fall more on the human driver if they were directly responsible for the error or negligence, such as failing to follow traffic laws or maintain control of the vehicle. However, if the accident occurred due to a malfunction or failure in Aeon's technology, the company could be held liable for not ensuring the safety and reliability of its systems.","1","1","","3","","22","1","","39","","","","Autopilot","yes"
"2024-11-19 09:44:36","2024-11-19 09:47:44","0","Anonymized","100","187","1","2024-11-19 09:47:44","R_5UXQ8ynEZgaocKt","","","","","Anonymized","Anonymized","anonymous","EN","1","65bfbd86a1ec730270fe8345","2","5","1","2","4","5","74","53","74","61","It's a difficult decision, but I would say the autopilot is more at fault, since the human was counting on it.","1","1","","3","","25","4","","75","","","","Autopilot","yes"
"2024-11-19 09:39:23","2024-11-19 09:47:52","0","Anonymized","100","509","1","2024-11-19 09:47:53","R_2gckV0W3yvIMubF","","","","","Anonymized","Anonymized","anonymous","EN","1","663b853526007c13785d53b0","2","5","","1","4","3","55","100","68","100","I think it depends on the road factor when it comes the company of human driver liable for the accident. I think sometimes technology is not always reliable.","1","2","","1","","35","4","","100","","","","Copilot","no"
"2024-11-19 09:42:55","2024-11-19 09:48:15","0","Anonymized","100","320","1","2024-11-19 09:48:16","R_6DUyz1rRSnNMbbt","","","","","Anonymized","Anonymized","anonymous","EN","1","64cedb84f1bca3abc20b7972","2","5","1","2","4","6","49","60","55","55","This is very hard. I feel like the human is ultimately responsible but I also feel like the human was justified in relying on the system to alert to any obstacles. I think because of the claims made the company, the human felt safe looking away, so I feel like the company is largely responsible.","1","2","","3","","55","5","","25","","","","Copilot","yes"
"2024-11-19 09:41:54","2024-11-19 09:48:22","0","Anonymized","100","387","1","2024-11-19 09:48:23","R_30xMy9mWnJbdPdT","","","","","Anonymized","Anonymized","anonymous","EN","1","66c30398cfdcf65e1ef278bf","2","5","","2","4","5","40","61","40","81","I think even though the vehicle is under automated control the human still must be vigilant. It is very risky and in most states illegal to check text messages while operating a vehicle.","1","1","","3","","68","3","","30","","","","Autopilot","no"
"2024-11-19 09:42:25","2024-11-19 09:48:26","0","Anonymized","100","360","1","2024-11-19 09:48:27","R_60gdhdOCTi5khO1","","","","","Anonymized","Anonymized","anonymous","EN","1","6632edd68127fba862de05bf","2","5","","2","4","3","61","61","61","61","Human should not be looking at the phone while driving. Copilot should have noticed the stop sign. Both are responsible to some degree.","1","1","","4","","42","4","","20","","","","Copilot","no"
"2024-11-19 09:46:10","2024-11-19 09:48:32","0","Anonymized","100","141","1","2024-11-19 09:48:32","R_7rPSW3YclLN2CNf","","","","","Anonymized","Anonymized","anonymous","EN","1","656f36a6502865cd7a64efe9","2","5","","2","4","5","73","75","95","66","I think both are liable for the accident, however the company should pay damages as their misleading advertisement led the driver to think it was safe to not look at the road. ","1","4","nonbinary ","6","jewish","22","3","","43","","","","Copilot","no"
"2024-11-19 09:43:53","2024-11-19 09:48:42","0","Anonymized","100","289","1","2024-11-19 09:48:42","R_1Eme9t9u03GW7uS","","","","","Anonymized","Anonymized","anonymous","EN","1","66248b8e466a53c03da6ba82","2","5","","2","4","4","40","100","60","70","I feel like the human driver is more liable although I feel the company's car should have been aware of the sign it is understood that there are some things that cannot be detected and the human in the car should also be aware of the surroundings and not be distracted as a malfunction can happen at anytime.","1","1","","1","","21","3","","30","","","","Autopilot","no"
"2024-11-19 09:45:43","2024-11-19 09:48:48","0","Anonymized","100","184","1","2024-11-19 09:48:48","R_5S7AUA8jBdUmuiW","","","","","Anonymized","Anonymized","anonymous","EN","1","5dba0a89ffee14070ae13f74","2","5","1","1","4","6","60","90","60","90","If you are in the driver's seat, you should always stay attentive as you are ultimately in control of the vehicle (automated or not).","1","2","","3","","37","3","","14","","","","Autopilot","yes"
"2024-11-19 09:47:08","2024-11-19 09:48:44","0","Anonymized","100","95","1","2024-11-19 09:48:49","R_3m7bhl9YLWE582t","","","","","Anonymized","Anonymized","anonymous","EN","1","5fd0261b85dd3e087609bee6","2","5","","2","4","4","51","51","52","51","human driver because they are living creatures","1","2","","2","","26","4","","51","","","","Autopilot","no"
"2024-11-19 09:41:38","2024-11-19 09:49:15","0","Anonymized","100","456","1","2024-11-19 09:49:16","R_7ngcpr7rqLmFZ1D","","","","","Anonymized","Anonymized","anonymous","EN","1","66e05c4439bcb0dceacda68a","2","5","1","1","4","3","72","71","85","71","I believe even though the Aeon was switched on the human should still be alert since machines malfunction sometimes. However Aeon company should cover the damages since it was switched on.","1","2","","1","","49","8","2 years Associates Degree","0","","","","Copilot","yes"
"2024-11-19 09:41:17","2024-11-19 09:49:16","0","Anonymized","100","478","1","2024-11-19 09:49:17","R_15SBfs6cT49fb0D","","","","","Anonymized","Anonymized","anonymous","EN","1","665a234c97c127c4605a9be1","2","5","1","2","4","4","89","94","100","24","It's the company's fault because the copilot should have recognize the sign.","1","1","","1","","25","3","","28","","","","Copilot","yes"
"2024-11-19 09:45:24","2024-11-19 09:49:23","0","Anonymized","100","239","1","2024-11-19 09:49:24","R_7C5PItILAAsvKNP","","","","","Anonymized","Anonymized","anonymous","EN","1","66857cc20736230620552dbc","2","5","1","2","4","6","90","90","90","90","I think they are both responsible for the accident. Automated cars are so new and as the human driver, you shouldn't put all your faith in them to drive safely....no matter what the company says.","1","2","","3","","54","4","","10","","","","Autopilot","yes"
"2024-11-19 09:46:13","2024-11-19 09:49:54","0","Anonymized","100","220","1","2024-11-19 09:49:54","R_5Scxcmd3APIS8ig","","","","","Anonymized","Anonymized","anonymous","EN","1","663b842b57dff9e199c928db","2","5","1","2","4","4","19","79","16","79","At the end of the day, the driver is still responsible. Just because a car is automated doesn't mean that the driver shouldn't still be paying attention. ","1","2","","3","","29","2","","9","","","","Copilot","yes"
"2024-11-19 09:43:29","2024-11-19 09:50:02","0","Anonymized","100","393","1","2024-11-19 09:50:03","R_54ek1c1s5r08f73","","","","","Anonymized","Anonymized","anonymous","EN","1","59bc26d53a9ab60001119700","2","5","1","1","4","6","85","75","80","70","I think both the company and the driver are responsible for the accident, but Aeon might be slightly more responsible given the claims of their product. I do not believe the man driving would have looked down at his phone if he did not believe that his Copilot system would notice street signs in his stead and would have brought the vehicle to a stop.","1","4","Non-binary","3","","28","4","","30","","","","Copilot","yes"
"2024-11-19 09:45:29","2024-11-19 09:50:06","0","Anonymized","100","276","1","2024-11-19 09:50:06","R_7Oe1WXrHQUl5aZd","","","","","Anonymized","Anonymized","anonymous","EN","1","66d67902c511907836bec93b","2","5","","2","4","3","50","90","70","90","The human is still most responsible for being aware of the environment, even if the car is equipped with the ability to monitor.  Having automated features in the car does not mean that one is able to relax attention while driving. ","1","2","","3","","45","7","","20","","","","Autopilot","no"
"2024-11-19 09:44:08","2024-11-19 09:50:17","0","Anonymized","100","369","1","2024-11-19 09:50:18","R_6Pb1WQoU1khZTRG","","","","","Anonymized","Anonymized","anonymous","EN","1","66aaafb566413c1c5334dfaa","2","5","","3","2","4","57","56","46","57","i think the human driver is liable since he was the one in control and was suppose to be very careful about it","1","1","","1","","41","4","","54","","","","Autopilot","no"
"2024-11-19 09:47:28","2024-11-19 09:50:51","0","Anonymized","100","202","1","2024-11-19 09:50:51","R_5CM9mwjy5Epe093","","","","","Anonymized","Anonymized","anonymous","EN","1","62b2132a781ad15631672d81","2","5","","2","4","6","80","50","100","0","I think the company would be most liable as they are the creators of the system that malfunctioned.","1","2","","3","","46","3","","24","","","","Copilot","no"
"2024-11-19 09:47:04","2024-11-19 09:50:55","0","Anonymized","100","230","1","2024-11-19 09:50:55","R_1O6dJHgXJndixi6","","","","","Anonymized","Anonymized","anonymous","EN","1","67163f9d64a40859a9dfeee0","2","5","","2","4","5","100","0","100","0","The car is in autopilot. if it were not it would be the human's fault. the car was controlled by Aeon at the time pf the accident, thus it was Aeons fault","1","2","","3","","34","5","","42","","","","Autopilot","no"
"2024-11-19 09:46:56","2024-11-19 09:51:13","0","Anonymized","100","256","1","2024-11-19 09:51:13","R_7n7bpyRq3hGgHTe","","","","","Anonymized","Anonymized","anonymous","EN","1","60ddf5abb47cc02285793096","2","5","","2","4","4","30","71","54","75","The driver shouldn't depend on the copilot for everything; they are still doing something dangerous and need to be paying attention because technology fails too.","1","2","","3","","25","4","","9","","","","Copilot","no"
