StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q110,att_1,att_2,comp_1,comp_2,auto_1,resp_software1_10,resp_human1_10,liable_firm1_1,liable_human1_1,liab_text1,comp_3,co_1,resp_software2_10,resp_human2_10,liab_firm2_1,liab_human2_1,liab_text2,comp_4,auto_2,resp_software3_10,resp_human3_10,liab_soft3_1,liab_human3_1,liab_text3,comp_5,comp_6,co_2,resp_software4_10,resp_human4_10,liab_software4_1,liab_human4_1,liab_text4,comp_7,comp_8,norm_1_1,norm_1_2,norm_1_3,norm_1_4,norm_1_5,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,education,education_8_TEXT,license,ai_knowledge_1,PROLIFIC_PID,FL_12_DO,av_frame1_acc_DO,av_frame2_acc_DO,av_frame3_acc_DO,av_frame4_acc_DO
3/22/23 14:40,3/22/23 14:43,0,24.168.84.227,100,140,1,3/22/23 14:43,R_1GWxRpzXTQENmFo,,,,,40.7428,-73.9712,anonymous,EN,1,612bbf7f2777e375241f0f45,2,2,2,4,4,100,80,100,70,"I believe both are. While the company is mostly responsible as its functions did not properly work, the driver should have also been alert.",2,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,2,,3,,21,3,,1,10,612bbf7f2777e375241f0f45,FL_35,frame1_info3|liable_firm1|liable_human1|resp_human1|resp_software1|liab_text1,,,
3/22/23 14:41,3/22/23 14:44,0,73.232.34.80,100,171,1,3/22/23 14:44,R_2Yn8jmjKHd22F6p,,,,,29.572,-95.54,anonymous,EN,1,6108767c9bec77d0e42e3c44,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,4,61,85,14,86,the human driver is liable because the car can only change accelerating and braking,2,1,4,4,5,5,5,2,,4,,23,7,,1,29,6108767c9bec77d0e42e3c44,FL_54,,,,frame4_info3|frame4_info4|Q148|liab_software4|liab_human4|resp_human4|resp_software4|liab_text4
3/22/23 14:42,3/22/23 14:48,0,172.58.231.61,100,332,1,3/22/23 14:48,R_10r9yc5tpeptErr,,,,,40.6627,-73.9138,anonymous,EN,1,5adf6ea7f6b58c0001fa8404,2,2,2,4,,,,,,,,4,80,30,81,56,"If Aeon represents that its product is free of defects and works as advertised, then the majority of responsibility for navigation failure is on Aeon.",2,,,,,,,,,,,,,,,,,5,5,5,5,5,1,,3,,56,4,,1,58,5adf6ea7f6b58c0001fa8404,FL_36,,frame2_info3|resp_human2|resp_software2|liab_firm2|liab_human2|liab_text2,,
3/22/23 14:44,3/22/23 14:48,0,73.220.31.196,100,266,1,3/22/23 14:48,R_2CUKDhvfEA18GLb,,,,,38.6841,-121.0676,anonymous,EN,1,5d1d0270601cd7000172942f,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,5,0,100,0,100,It does not seem that copilot is intended to stop at a stop sign on level 2. If the human was made aware of this they are liable. ,1,1,5,5,5,5,5,2,,3,,27,4,,2,60,5d1d0270601cd7000172942f,FL_54,,,,frame4_info3|frame4_info4|Q148|resp_human4|resp_software4|liab_software4|liab_human4|liab_text4
3/22/23 14:39,3/22/23 14:49,0,172.58.137.77,100,588,1,3/22/23 14:49,R_3it0VvQ2cXRKKjH,,,,,37.751,-97.822,anonymous,EN,1,60d8d9348db2bb3a539b5c1d,2,1,2,4,,,,,,,,,,,,,,,4,10,59,39,75,When it comes down to it it is the human is responsible to make sure everything is working in three car,2,1,,,,,,,,,5,5,5,5,3,1,,3,,60,1,,2,45,60d8d9348db2bb3a539b5c1d,FL_50,,,frame3_info3|frame3_info4|Q141|resp_software3|liab_human3|liab_soft3|resp_human3|liab_text3,
3/22/23 14:47,3/22/23 14:50,0,76.177.248.218,100,162,1,3/22/23 14:50,R_2CvRnoD4MpGw8Ep,,,,,40.0337,-83.1319,anonymous,EN,1,6113ff4bca90f6632e738e80,2,2,2,4,4,100,76,100,85,"If the company's product is defective or not as advertised, it's their fault. Corporations can afford it. ",2,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,2,,3,,23,3,,2,40,6113ff4bca90f6632e738e80,FL_35,frame1_info3|liable_human1|resp_software1|resp_human1|liable_firm1|liab_text1,,,
3/22/23 14:48,3/22/23 14:51,0,76.166.182.204,100,131,1,3/22/23 14:51,R_2YS3ZctD3jbY6YF,,,,,33.7518,-117.9932,anonymous,EN,1,5f16ff89ea30c001ece617bc,2,2,2,3,,,,,,,,,,,,,,,4,65,77,91,94,Aeon is liable for the accident,2,1,,,,,,,,,3,5,4,4,4,1,,2,,19,3,,1,69,5f16ff89ea30c001ece617bc,FL_50,,,frame3_info3|frame3_info4|Q141|resp_human3|liab_soft3|resp_software3|liab_human3|liab_text3,
3/22/23 14:46,3/22/23 14:51,0,64.124.161.85,100,265,1,3/22/23 14:51,R_1rH7xRE8rvudfTn,,,,,29.3582,-98.429,anonymous,EN,1,60c1e79be765b0daee87b81f,2,1,2,4,5,25,100,75,75,"The human should always maintain the majority, if not all the responsibility. That is the only way to guarantee safety.",3,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,1,,3,,24,4,,1,40,60c1e79be765b0daee87b81f,FL_35,frame1_info3|resp_human1|resp_software1|liable_firm1|liable_human1|liab_text1,,,
3/22/23 14:48,3/22/23 14:51,0,73.38.57.161,100,189,1,3/22/23 14:51,R_1OTbSnILQsHaSN0,,,,,43.2188,-71.5294,anonymous,EN,1,6009f3476c71d710d6d7b596,2,2,2,4,,,,,,,,4,30,81,30,85,"Human, because ultimately you are responsible for your vehicle. ",1,,,,,,,,,,,,,,,,,4,5,5,5,5,2,,3,,30,1,,1,57,6009f3476c71d710d6d7b596,FL_36,,frame2_info3|resp_human2|liab_firm2|resp_software2|liab_human2|liab_text2,,
3/22/23 14:47,3/22/23 14:53,0,74.140.88.105,100,332,1,3/22/23 14:53,R_5AUbHuVXhu5mL0B,,,,,38.2539,-85.76,anonymous,EN,1,63d449c32c36e04f5d5987b8,2,1,1,4,,,,,,,,,,,,,,,,,,,,,,,5,50,60,100,60,"I think the human driver would still be more liable for the accident. Whether the driver knew or not about the capabilities of the car, I don't think checking your phone would still be a good decision. Aeon could still potentially malfunction, which is why I think the driver is a bit more liable.",1,1,5,5,5,5,5,2,,4,,23,1,,2,55,63d449c32c36e04f5d5987b8,FL_54,,,,frame4_info3|frame4_info4|Q148|liab_software4|resp_software4|resp_human4|liab_human4|liab_text4
3/22/23 14:48,3/22/23 14:53,0,98.34.0.2,100,289,1,3/22/23 14:53,R_2c8vacckNGriofu,,,,,41.7892,-88.262,anonymous,EN,1,5ecd6f9376cf970c5229073f,2,1,2,4,,,,,,,,4,73,100,28,100,The company would’ve made a policy that they are not responsible for crashes when the human is not in control,1,,,,,,,,,,,,,,,,,5,5,5,5,5,1,,3,,19,3,,1,82,5ecd6f9376cf970c5229073f,FL_36,,frame2_info3|liab_human2|resp_software2|liab_firm2|resp_human2|liab_text2,,
3/22/23 14:51,3/22/23 14:54,0,136.35.2.171,100,159,1,3/22/23 14:54,R_2E4xCriDTEjEymY,,,,,39.1344,-94.6809,anonymous,EN,1,614dd04f946867282d817c11,2,2,1,4,,,,,,,,,,,,,,,3,100,100,100,100,I think they are both responsible.,2,2,,,,,,,,,5,5,5,5,5,2,,3,,43,4,,1,8,614dd04f946867282d817c11,FL_50,,,frame3_info3|frame3_info4|Q141|liab_soft3|resp_human3|liab_human3|resp_software3|liab_text3,
3/22/23 14:52,3/22/23 14:54,0,172.58.155.98,100,156,1,3/22/23 14:54,R_24o7iugI1z9lcHn,,,,,35.2296,-80.843,anonymous,EN,1,57d6b1718e00270001b430cc,2,2,2,4,4,81,51,74,77,Because it is still the drivers responsibility. ,2,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,3,4,1,,3,,38,7,,2,49,57d6b1718e00270001b430cc,FL_35,frame1_info3|liable_human1|resp_human1|liable_firm1|resp_software1|liab_text1,,,
3/22/23 14:51,3/22/23 14:55,0,174.203.128.48,100,222,1,3/22/23 14:55,R_psLZCtSPjwDAz5L,,,,,40.3052,-79.5418,anonymous,EN,1,63d4047336495d7d04c7c855,2,2,2,4,5,81,70,100,71,"Since the self driving was on, liability is more so on the faulty detection than on the human monitor. However, it is still the humans responsibility to maintain control over the system.",2,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,1,,3,,26,4,,1,71,63d4047336495d7d04c7c855,FL_35,frame1_info3|resp_human1|resp_software1|liable_human1|liable_firm1|liab_text1,,,
3/22/23 14:51,3/22/23 14:55,0,24.211.229.241,100,227,1,3/22/23 14:55,R_cGZDrTLJjA3Gd2N,,,,,35.9151,-79.0972,anonymous,EN,1,63df49adc93a770f56a41ba7,2,1,2,4,,,,,,,,4,100,40,100,40,if the car is supposed to see the stop sign and does not I think the car and company are at fault,1,,,,,,,,,,,,,,,,,5,5,5,5,5,3,,3,,29,1,,1,65,63df49adc93a770f56a41ba7,FL_36,,frame2_info3|liab_human2|resp_software2|resp_human2|liab_firm2|liab_text2,,
3/22/23 14:53,3/22/23 14:55,0,74.110.61.15,100,117,1,3/22/23 14:55,R_6mtN55gBEGU7Pln,,,,,42.9554,-78.8638,anonymous,EN,1,64175f74ba146510382a0642,1,2,2,4,,,,,,,,,,,,,,,3,0,100,0,100,In the end the human has to take responsibility. As he is huiman,3,1,,,,,,,,,5,5,5,5,5,1,,2,,24,5,,1,70,64175f74ba146510382a0642,FL_50,,,frame3_info3|frame3_info4|Q141|liab_soft3|liab_human3|resp_human3|resp_software3|liab_text3,
3/22/23 14:51,3/22/23 14:56,0,107.77.234.195,100,315,1,3/22/23 14:56,R_1pSFyYotcbh12om,,,,,37.751,-97.822,anonymous,EN,1,63f3a7e45f338798fd025d99,2,2,2,4,,,,,,,,,,,,,,,5,18,100,8,99,The human driver is more responsible because level 2 requires human to be monitoring the driving environment. ,2,1,,,,,,,,,5,5,5,5,5,2,,3,,30,3,,1,12,63f3a7e45f338798fd025d99,FL_50,,,frame3_info3|frame3_info4|Q141|liab_human3|resp_human3|resp_software3|liab_soft3|liab_text3,
3/22/23 14:52,3/22/23 14:56,0,172.58.96.23,100,220,1,3/22/23 14:56,R_1lABxpAflTRHmjH,,,,,32.7797,-96.8022,anonymous,EN,1,63d40dec072d08076c329bf2,2,2,2,4,4,100,29,95,28,The company has an obligation to the consumer that their products work as described. If they do not take ownership it will look poorly on the business ,2,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,1,,5,,32,4,,1,35,63d40dec072d08076c329bf2,FL_35,frame1_info3|liable_firm1|resp_human1|resp_software1|liable_human1|liab_text1,,,
3/22/23 14:54,3/22/23 14:56,0,98.153.194.163,100,153,1,3/22/23 14:56,R_2EhPXshCA34HTpw,,,,,34.0648,-118.4414,anonymous,EN,1,63162bda14b96736b08a554d,2,2,2,4,,,,,,,,,,,,,,,4,11,90,12,83,The human driver is in charge of monitoring the environment and making sure to stop at the stop signs. A level 2 self driving car is not able to perform this task and therefore it is the human driver's fault.,2,1,,,,,,,,,5,5,5,5,5,2,,3,,20,3,,1,31,63162bda14b96736b08a554d,FL_50,,,frame3_info3|frame3_info4|Q141|liab_human3|resp_software3|liab_soft3|resp_human3|liab_text3,
3/22/23 14:50,3/22/23 14:57,0,67.177.44.124,100,425,1,3/22/23 14:57,R_2a9aWRBeDEgirZn,,,,,40.6981,-111.9999,anonymous,EN,1,64139a312c580091ad6d3cde,2,1,2,4,,,,,,,,,,,,,,,,,,,,,,,4,0,98,0,100,if the car does not have radar assisted breaking it can not be expected to stop for the user. The driver should not be on their cell phone,1,1,5,5,5,5,5,1,,3,,35,2,,1,50,64139a312c580091ad6d3cde,FL_54,,,,frame4_info3|frame4_info4|Q148|liab_software4|liab_human4|resp_human4|resp_software4|liab_text4
3/22/23 14:48,3/22/23 14:58,0,24.126.113.170,100,553,1,3/22/23 14:58,R_UYISSnsW0zoPlaV,,,,,39.6249,-75.8351,anonymous,EN,1,63ea4735e283a1670ea382f4,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,5,7,95,5,91,"The human driver is more liable because it was the humans job to monitor the cars surrounding environment, which would be a stop sign.",2,1,5,5,5,5,5,2,,3,,31,1,,1,38,63ea4735e283a1670ea382f4,FL_54,,,,frame4_info3|frame4_info4|Q148|resp_software4|resp_human4|liab_software4|liab_human4|liab_text4
3/22/23 14:54,3/22/23 14:58,0,98.236.29.57,100,275,1,3/22/23 14:58,R_3QSKhdpXjSAFlMC,,,,,40.473,-79.9537,anonymous,EN,1,63d7d6f259f66df53d9719be,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,2,10,15,15,85,I believe the human is more liable because the stop sign is part of the environment and Aeon doesn't monitor the driving environment.,1,1,5,5,5,5,5,2,,2,,27,4,,1,50,63d7d6f259f66df53d9719be,FL_54,,,,frame4_info3|frame4_info4|Q148|resp_human4|liab_software4|liab_human4|resp_software4|liab_text4
3/22/23 14:54,3/22/23 14:58,0,67.10.134.9,100,258,1,3/22/23 14:58,R_2dowIhNqpj47OjD,,,,,29.4227,-98.4927,anonymous,EN,1,633cbcabc0480869b8b5212d,2,2,2,4,,,,,,,,5,70,30,90,10,"I think that the company is at fault mostly for advertising a self driving car in which the man trusted. Although it is stated in the rules and regulations that the person driving has to always be attentive, the false advertisement made the man confide in his vehicle which ultimately failed him.",1,,,,,,,,,,,,,,,,,5,5,5,5,5,1,,4,,19,1,,1,15,633cbcabc0480869b8b5212d,FL_36,,frame2_info3|liab_firm2|liab_human2|resp_human2|resp_software2|liab_text2,,
3/22/23 14:52,3/22/23 14:58,0,174.17.171.13,100,400,1,3/22/23 14:58,R_3svIwwKeTOuyCMP,,,,,33.4602,-112.1334,anonymous,EN,1,5e33a044f4429c36dd5d68dd,2,2,2,4,,,,,,,,6,80,70,30,70,I would think the company is slightly more responsible for the accident as obeying a stop is a very basic feature of AV.,1,,,,,,,,,,,,,,,,,5,5,5,5,5,1,,3,,38,4,,1,70,5e33a044f4429c36dd5d68dd,FL_36,,frame2_info3|resp_software2|liab_human2|liab_firm2|resp_human2|liab_text2,,
3/22/23 14:55,3/22/23 14:59,0,74.215.182.225,100,226,1,3/22/23 14:59,R_OJfiHB4Hurtieml,,,,,39.3434,-84.4009,anonymous,EN,1,5f24b20a9ef53b0c22ccc7e5,2,2,2,4,,,,,,,,,,,,,,,4,60,100,70,80,The human driver is more liable. They are supposed to be working as a team but the majority of the responsibility falls on the driver.,2,1,,,,,,,,,4,5,5,5,5,2,,5,,29,5,,1,30,5f24b20a9ef53b0c22ccc7e5,FL_50,,,frame3_info3|frame3_info4|Q141|resp_human3|liab_soft3|resp_software3|liab_human3|liab_text3,
3/22/23 14:54,3/22/23 14:59,0,98.46.117.91,100,279,1,3/22/23 14:59,R_2uwwIkeOCxoLYXO,,,,,44.9399,-93.2548,anonymous,EN,1,61562037d8d42a74687762c6,2,2,2,4,5,20,80,40,70,"I think that I can understand why the human may feel like Aeon should be held responsible since they trusted the company’s product to be able to sense the stop sign so that they could safely look away from the road for a moment, but I feel like, automatic driving or not, the person should still always be paying attention to the road and following driving safety rules. The automatic aspect should just be a tool to take some of the stress and work off one’s shoulders, not to completely take over.",2,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,1,,3,,27,2,,2,29,61562037d8d42a74687762c6,FL_35,frame1_info3|resp_software1|resp_human1|liable_firm1|liable_human1|liab_text1,,,
3/22/23 14:50,3/22/23 14:59,0,76.138.226.63,100,519,1,3/22/23 14:59,R_1JEdBFOqSL58eOz,,,,,44.9466,-123.0105,anonymous,EN,1,5f8adfc098514819aa26381f,2,1,2,4,,,,,,,,,,,,,,,,,,,,,,,2,10,100,0,100,"The driver is the liable party, as far as I’m concerned. It’s illegal to text while driving, and in my state, just having your phone in hand while driving can get you a ticket. Studies have proven that texting while driving increases risk of accidents. The cars copilot system does not monitor the driving environment, it merely assists in steering, accelerating, and slowing the vehicle. I’m making an assumption here that the driver would have been informed of this information when they purchased this vehicle. 
Therefore, when all is taken into account, I believe that the fault lies solely with the driver. Dumbass shouldn’t have been texting while driving  ",1,1,5,5,5,5,5,2,,3,,24,3,,1,20,5f8adfc098514819aa26381f,FL_54,,,,frame4_info3|frame4_info4|Q148|liab_human4|resp_human4|liab_software4|resp_software4|liab_text4
3/22/23 14:54,3/22/23 14:59,0,153.33.8.88,100,294,1,3/22/23 14:59,R_24N7McKelj8KGUf,,,,,33.4306,-111.9256,anonymous,EN,1,641b645159cbec56c75e9c6e,2,2,2,4,4,90,70,100,60,"The company is liable since it sent a defective product that resulted in the injury of another driver. On the other hand, the human driver is also liable since they did not pay attention. In the end, the company's car gave the idea that the driver could do whatever they want, so they are more liable in the end.",3,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,4,4,4,Non-binary,2,,19,4,,1,10,641b645159cbec56c75e9c6e,FL_35,frame1_info3|liable_human1|resp_software1|resp_human1|liable_firm1|liab_text1,,,
3/22/23 14:55,3/22/23 15:00,0,108.34.254.161,100,344,1,3/22/23 15:00,R_2CvbbNy1uMKOEoR,,,,,41.8307,-71.3982,anonymous,EN,1,627f448165ed9095fd43cfd1,2,2,2,4,,,,,,,,,,,,,,,6,10,95,5,90,"Since the vehicle is classified as level 2 AV, all driving inputs would be controlled by human, or the control would be shared with AV. Therefore, there is no function that a human has no control over, and therefore the human bears most responsibility for the accident and liabilities stemming from it.",2,1,,,,,,,,,5,5,5,4,5,1,,3,,49,5,,1,55,627f448165ed9095fd43cfd1,FL_50,,,frame3_info3|frame3_info4|Q141|resp_human3|liab_soft3|liab_human3|resp_software3|liab_text3,
3/22/23 14:54,3/22/23 15:01,0,73.191.92.74,100,377,1,3/22/23 15:01,R_3iD1tWGbvqRGjze,,,,,38.6397,-75.6047,anonymous,EN,1,5fcdddcd64fc2dd06a6ceadd,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,4,0,95,5,100,"At that level of automation, the driver must have been informed that s/he is absolutely responsible for anything the car does and if they were not aware they should have been.",1,1,5,5,5,5,5,1,,5,,54,5,,1,75,5fcdddcd64fc2dd06a6ceadd,FL_54,,,,frame4_info3|frame4_info4|Q148|resp_human4|liab_software4|liab_human4|resp_software4|liab_text4
3/22/23 14:56,3/22/23 15:01,0,24.136.1.46,100,293,1,3/22/23 15:01,R_1LA5EIP1LdOuKNj,,,,,41.8502,-87.6736,anonymous,EN,1,63f778ebd0780296b863d870,2,2,2,4,,,,,,,,4,20,80,34,70,"""Co-pilot"" doesn't mean ""Pilot"". It is therefore assumed that the car does not have total control over the vehicle and so the human must have final determination on the safety of the operation of the vehicle. Yes, the car failed, but the human did not perform their function as the ultimate determination of safety operation.",2,,,,,,,,,,,,,,,,,5,5,5,5,5,1,,3,,35,5,,1,40,63f778ebd0780296b863d870,FL_36,,frame2_info3|resp_human2|liab_human2|resp_software2|liab_firm2|liab_text2,,
3/22/23 14:56,3/22/23 15:02,0,174.84.64.186,100,346,1,3/22/23 15:02,R_3GfHeP6XuDiO7zr,,,,,42.9059,-83.9938,anonymous,EN,1,5cb2956621aca7001632f50b,2,2,2,4,6,75,25,75,25,"If the car was being controlled by Aeon and they failed to notice the stop sign, they are more responsible for the accident.",2,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,2,,3,,46,4,,1,6,5cb2956621aca7001632f50b,FL_35,frame1_info3|liable_human1|liable_firm1|resp_human1|resp_software1|liab_text1,,,
3/22/23 14:51,3/22/23 15:03,0,74.103.188.197,100,718,1,3/22/23 15:03,R_2hFOqTYyKWZPwat,,,,,40.1533,-74.9937,anonymous,EN,1,5c80a83573e3990001687214,2,2,1,4,5,94,77,90,83,I think the company is more liable because the human thought the auto pilot was watching. They probably would not have been texting if they knew the auto pilot was not doing its dob,2,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,2,,3,,39,5,,1,76,5c80a83573e3990001687214,FL_35,frame1_info3|liable_human1|resp_software1|resp_human1|liable_firm1|liab_text1,,,
3/22/23 15:00,3/22/23 15:04,0,50.242.35.2,100,206,1,3/22/23 15:04,R_2PpzTfrBkojEkuY,,,,,37.5909,-77.4971,anonymous,EN,1,633a06f42baed0a1f488ef1f,2,1,2,4,,,,,,,,4,60,87,63,93,I always think we should scalp as much money from stupid tech companies as possible so if there's some way to make it the companies fault I'm all for it ,1,,,,,,,,,,,,,,,,,4,5,4,5,5,1,,3,,21,2,,1,69,633a06f42baed0a1f488ef1f,FL_36,,frame2_info3|resp_software2|resp_human2|liab_firm2|liab_human2|liab_text2,,
