"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q1","Q110","att_1","att_2","comp_1","comp_2","comp_3","words_1","level_1","level_2","hard_1_1","info_text","level_3","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","education","education_8_TEXT","license","ai_knowledge_1","PROLIFIC_PID","clicked"
"2023-07-31 09:15:34","2023-07-31 09:26:17","0","Anonymized","100","643","1","2023-07-31 09:26:18","R_UQI1Woqh5WmIDyF","","","","","Anonymized","Anonymized","anonymous","EN","1","6166c0eb123b6e8b34628249","2","2","2","4","Locations","Autopilot
Self-Driving
Safety
Sensors
New Tesla models
Mirrors (Front, Rear)
","2","","","","6","2","","1","","26","4","","1","40","6166c0eb123b6e8b34628249","1"
"2023-07-31 09:06:38","2023-07-31 09:27:37","0","Anonymized","100","1259","1","2023-07-31 09:27:38","R_W9ephizFaiKuVsB","","","","","Anonymized","Anonymized","anonymous","EN","1","5e8d55f1b7629212732b10ec","2","2","1","4","It was only  about privacy & legal ","Steer automation, automated car, it is about self driving car and all the high tech features installed in this advanced car ","1","5","70","In the video ","","2","","2","","24","4","","1","79","5e8d55f1b7629212732b10ec","1"
"2023-07-31 09:19:11","2023-07-31 09:27:57","0","Anonymized","100","525","1","2023-07-31 09:27:57","R_2awUbAI85pJ11rZ","","","","","Anonymized","Anonymized","anonymous","EN","1","63b63938dbf229f3eb46d4a4","2","2","2","4","Locations","autopilot, smart, self driving, accelerate, lane change, regulations, cameras, navigate, vision","1","2","50","I read the text and made my judgment based upon that. There was no chart on the page.","","1","","3","","50","4","","1","50","63b63938dbf229f3eb46d4a4","0"
"2023-07-31 09:19:00","2023-07-31 09:27:58","0","Anonymized","100","538","1","2023-07-31 09:27:58","R_3NFd2CS7veQr0h0","","","","","Anonymized","Anonymized","anonymous","EN","1","5658d6d67d69570012dfe258","2","2","2","4","Locations","narrow front camera
get out of the car and it will park
push button on phone and it will return to you
if you don't give it a destination it will choose one in your calendar
driver is in car for legal reasons but car is driving itself","2","","","","6","2","","3","","48","4","","1","9","5658d6d67d69570012dfe258","1"
"2023-07-31 09:19:19","2023-07-31 09:29:17","0","Anonymized","100","597","1","2023-07-31 09:29:18","R_3PBnXRIrqgyI5z2","","","","","Anonymized","Anonymized","anonymous","EN","1","645abc0f7fa6368e6df2d973","2","2","2","4","Locations","retrieve, summon, park, phone, self ","2","","","","6","1","","3","","62","6","","1","25","645abc0f7fa6368e6df2d973","1"
"2023-07-31 09:14:51","2023-07-31 09:29:34","0","Anonymized","100","883","1","2023-07-31 09:29:35","R_10vJNyWNJykQ1AG","","","","","Anonymized","Anonymized","anonymous","EN","1","614f64af286f5a5cc8fa849d","2","2","2","4","“Privacy & Legal.” There is no “get newsletter” statement at the bottom.","autopilot 
rear back cameras
front forward cameras
360 view
summon
over-the-air software updates 
navigating complex paths
","2","","","","6","2","","2","","27","4","","1","32","614f64af286f5a5cc8fa849d","1"
"2023-07-31 09:21:18","2023-07-31 09:30:02","0","Anonymized","100","524","1","2023-07-31 09:30:02","R_306vxNQZbg86Gom","","","","","Anonymized","Anonymized","anonymous","EN","1","63d811906590fb193288cf36","2","1","2","4","Locations","Autopilot, Cameras, Self-driving, Parking, Optimization, 40 times the capacity, Collision warning, From home, Destinations","1","5","91","The entire website described the level of automation and self-driving capabilities of the car.","","1","","1","","32","3","","2","55","63d811906590fb193288cf36","1"
"2023-07-31 09:16:35","2023-07-31 09:31:09","0","Anonymized","100","873","1","2023-07-31 09:31:10","R_2RUFa5mk9IEJo87","","","","","Anonymized","Anonymized","anonymous","EN","1","60ed988274fb4f59a18ccaa2","2","2","2","4","Locations","Tesla auto pilot, new software that is constantly updated, safety ","2","","","","5","2","","3","","38","4","","1","0","60ed988274fb4f59a18ccaa2","1"
"2023-07-31 09:15:52","2023-07-31 09:31:33","0","Anonymized","100","940","1","2023-07-31 09:31:34","R_3ESTg861b3lgdcN","","","","","Anonymized","Anonymized","anonymous","EN","1","5c28a7d31c8e4c0001b2e0a4","2","2","2","4","Locations","Solar panels
Tesla
High beams
Demo
Model S
Cybertruck
Roadster
Get newsletter
Locations
Team
Park
The Witcher
Drive
Calendar
","2","","","","5","2","","3","","33","1","","1","10","5c28a7d31c8e4c0001b2e0a4","1"
"2023-07-31 09:21:11","2023-07-31 09:31:51","0","Anonymized","100","640","1","2023-07-31 09:31:52","R_3njwAnpNFtVec3T","","","","","Anonymized","Anonymized","anonymous","EN","1","6272f2124c61474d78e12c09","2","2","2","4","Locations","Emphasized the use of cameras to provide vision based autonomous driving capabilities. Also showed helpful tasks it can do like summoning and parking. ","2","","","","5","1","","2","","46","4","","1","82","6272f2124c61474d78e12c09","1"
"2023-07-31 09:23:49","2023-07-31 09:32:20","0","Anonymized","100","511","1","2023-07-31 09:32:20","R_3I4YsZFk8QR4uge","","","","","Anonymized","Anonymized","anonymous","EN","1","5ac2f7e35cd1050001621c00","2","2","2","4","locations","Solar, sight, lane change, driverless, navigation, blind spot","1","4","89","It was somewhere in the middle of the site.","","1","","3","","47","1","","1","22","5ac2f7e35cd1050001621c00","1"
"2023-07-31 09:23:59","2023-07-31 09:33:39","0","Anonymized","100","580","1","2023-07-31 09:33:40","R_2wKLzfEuKpz2aAp","","","","","Anonymized","Anonymized","anonymous","EN","1","60008faa60a69e14c5b54a02","2","2","2","4","Locations","future of driving, sensors, autopilot, join the team","1","6","50","It didn't feel direct- it was segmented. There was information about auto-steering and auto-navigating tight spaces, as well as parking. There are also cameras and sensors all over, so the sense is that it could self-drive completely.","","1","","2","","29","5","","1","13","60008faa60a69e14c5b54a02","1"
"2023-07-31 09:23:05","2023-07-31 09:33:42","0","Anonymized","100","636","1","2023-07-31 09:33:43","R_d4P2aGBNbmfTlD3","","","","","Anonymized","Anonymized","anonymous","EN","1","60fef0f40629e4b5119b306b","2","2","2","4","Locations","Autopilot, Tesla vision, Self navigating, Smart Summon  ","1","5","51","Tesla is describes itself as not fully automatic vehicle but it can take on a lot of the tiresome parts of driving ","","2","","3","","22","1","","1","30","60fef0f40629e4b5119b306b","1"
"2023-07-31 09:20:50","2023-07-31 09:33:42","0","Anonymized","100","771","1","2023-07-31 09:33:43","R_1lyo4jgHipfIhs6","","","","","Anonymized","Anonymized","anonymous","EN","1","5ef283718092040ec9e39ca2","2","2","2","4","Locations","autopilot, autosteer, summons, navigate, Tesla, able to navigate complex roads, park seek, ","1","5","50","I did not see an actual number of a Level 5, but from what I remember from reading and the things that are automated currently, it seems to be a Level 5.  I know the site mentioned that it is not fully automated like a level 6, but I thought I remembered it doing everything on level 1-5 currently.  If not, it is level 4.","","2","","3","","59","4","","1","40","5ef283718092040ec9e39ca2","1"
"2023-07-31 09:18:58","2023-07-31 09:33:57","0","Anonymized","100","898","1","2023-07-31 09:33:57","R_1et6Jj22MCFOZCh","","","","","Anonymized","Anonymized","anonymous","EN","1","62c63900eeac5a077bc98e74","2","2","2","4","Locations","A car that can see 360 degrees and make decisions based on what it see.  This a human can not do.","2","","","","6","2","","3","","75","4","","1","19","62c63900eeac5a077bc98e74","1"
"2023-07-31 09:18:47","2023-07-31 09:34:23","0","Anonymized","100","936","1","2023-07-31 09:34:24","R_5usVGfrUGUJBTah","","","","","Anonymized","Anonymized","anonymous","EN","1","647f723d5685c627c1827a53","2","2","3","4","limitations","Autopilot, cameras, destination ","2","","","","4","2","","1","","22","3","","1","25","647f723d5685c627c1827a53","1"
"2023-07-31 09:22:34","2023-07-31 09:34:29","0","Anonymized","100","714","1","2023-07-31 09:34:30","R_2ls1WUTE7CSkCxH","","","","","Anonymized","Anonymized","anonymous","EN","1","5e1830f02529b2116fa49e52","2","2","1","4","Locations","Tesla, Get Newsletter, Locations, Lane Shifting, Self Driving, Calendar, Transport to your Location in Calendar","2","","","","6","1","","3","","29","1","","2","12","5e1830f02529b2116fa49e52","1"
"2023-07-31 09:08:01","2023-07-31 09:35:18","0","Anonymized","100","1637","1","2023-07-31 09:35:18","R_3McBoYx60pEEqEN","","","","","Anonymized","Anonymized","anonymous","EN","1","6372453f88c3b11f26f5b84f","2","2","2","4","Locations","Full self-driving capability, Autopilot,  Smart Summon, Autosteer","1","5","40","In the first section of the page, it gives you a simple overview of what Autopilot does. The subsections on Autosteer and Smart Summon provide further details that support what Autopilot can do.","","2","","3","","49","4","","1","70","6372453f88c3b11f26f5b84f","0"
"2023-07-31 09:24:01","2023-07-31 09:35:22","0","Anonymized","100","680","1","2023-07-31 09:35:22","R_868HlJPc69P3BqF","","","","","Anonymized","Anonymized","anonymous","EN","1","5c0727ff1d461400012b61ee","2","2","2","4","Locations","driving, not autonomous, lane, high beams, park, seek a parking spot, summon, press a button on phone to summon your car back to you, entrance, calendar, if you don't speak your car will look at your calendar to assume your destination, cameras, rear view camera, legally, ","1","5","51","I don't think they came right out and said it, but I think it was level 5 based on how they said a driver must be in the car for legal reasons and that later in the future via computer updates the car will then be completely autonomous. Also, I think the site mentioned that it only suggests lane changes but does not do them, so that I think would be part of Level 6. ","","2","","3","","54","1","","1","54","5c0727ff1d461400012b61ee","1"
"2023-07-31 09:26:52","2023-07-31 09:35:45","0","Anonymized","100","532","1","2023-07-31 09:35:45","R_2TNMrllkqiUGFTQ","","","","","Anonymized","Anonymized","anonymous","EN","1","59ea4e1116ecc200016ff81e","2","2","2","4","Locations","Tesla will navigate tighter, more complex roads with autosteer features.","1","4","64","Under the Autopilot section.","","1","","2","","34","5","","1","22","59ea4e1116ecc200016ff81e","0"
"2023-07-31 09:24:57","2023-07-31 09:36:07","0","Anonymized","100","670","1","2023-07-31 09:36:08","R_1ITasAjB7LCzoz0","","","","","Anonymized","Anonymized","anonymous","EN","1","63c18301a31679d3e3e39101","2","2","2","4","Locations","Autopilot, safety, advanced, braking, self steering, parking, driver assist, 360, Tesla, camera","1","6","61","The video showing the self driving autopilot experience. ","","2","","3","","53","3","","1","40","63c18301a31679d3e3e39101","1"
"2023-07-31 09:26:17","2023-07-31 09:36:15","0","Anonymized","100","597","1","2023-07-31 09:36:15","R_qVgAMAtreTRLrS9","","","","","Anonymized","Anonymized","anonymous","EN","1","60fe203fd424ad8187e4cdd0","2","2","2","4","Locations ","The website basically went over Tesla's autopilot features. It explained how it works and how it could be useful ","2","","","","5","2","","1","","22","1","","1","24","60fe203fd424ad8187e4cdd0","1"
"2023-07-31 09:26:13","2023-07-31 09:36:22","0","Anonymized","100","609","1","2023-07-31 09:36:23","R_3JDll5UfU3R5qa2","","","","","Anonymized","Anonymized","anonymous","EN","1","5e40b0eae8e4b32f3a3ebe6f","2","2","2","4","Careers ","Future of driving
Auto pilot
Front facing camera ","1","2","63","Autopilot ","","1","","3","","33","1","","1","25","5e40b0eae8e4b32f3a3ebe6f","1"
"2023-07-31 09:22:13","2023-07-31 09:36:55","0","Anonymized","100","882","1","2023-07-31 09:36:56","R_3s7apvgqtQJ5Epx","","","","","Anonymized","Anonymized","anonymous","EN","1","5f371531d5b7e818ee0cf328","2","2","2","4","Locations","Tesla was telling the beneifits and how powerful their AI robot is in controling car with autopilot","1","4","60","under the auto pilot area","","2","","1","","59","3","","1","20","5f371531d5b7e818ee0cf328","1"
"2023-07-31 09:27:33","2023-07-31 09:37:34","0","Anonymized","100","601","1","2023-07-31 09:37:34","R_0wfFN4ghLBvWl5T","","","","","Anonymized","Anonymized","anonymous","EN","1","6003ef9269c7814f0ca7b46a","2","2","2","4","locations","Autopilot, 40x computing, say destination and tesla will take you there, Auto summon, navigate tighter roads, ","2","","","","5","1","","2","","35","4","","1","20","6003ef9269c7814f0ca7b46a","1"
"2023-07-31 09:30:03","2023-07-31 09:37:52","0","Anonymized","100","469","1","2023-07-31 09:37:52","R_2fqiBxwHOQMoTJN","","","","","Anonymized","Anonymized","anonymous","EN","1","5e46d70ab1f1c5000d96800d","2","2","1","4","Location","How the tesla has 40 percent more brain power and how it can be automated to perform tasks","2","","","","4","1","","1","","38","3","","1","12","5e46d70ab1f1c5000d96800d","1"
"2023-07-31 09:19:19","2023-07-31 09:38:43","0","Anonymized","100","1163","1","2023-07-31 09:38:43","R_2c7LMokOiSnRICC","","","","","Anonymized","Anonymized","anonymous","EN","1","601251b1e6bbae2889cf29e9","2","2","2","4","Legal","Autopilot, camera, summon, parking","2","","","","6","1","","3","","43","3","","1","16","601251b1e6bbae2889cf29e9","1"
"2023-07-31 09:28:22","2023-07-31 09:38:50","0","Anonymized","100","627","1","2023-07-31 09:38:51","R_2vkthU2pdLH1Srb","","","","","Anonymized","Anonymized","anonymous","EN","1","60ff22120e009909e207ae02","2","2","2","4","Privacy ","Sensors, 360 camera angles, self driving, auto control, drive to home, to work","2","","","","5","2","","3","","33","3","","1","33","60ff22120e009909e207ae02","1"
"2023-07-31 09:26:51","2023-07-31 09:38:51","0","Anonymized","100","720","1","2023-07-31 09:38:52","R_1LcC6qR5qMsrVOC","","","","","Anonymized","Anonymized","anonymous","EN","1","5ddfd294b040d80433e608a1","2","2","2","4","Locations","Full Self-Driving Capability
Smart Summon
Auto Steer","2","","","","5","1","","1","","28","4","","1","41","5ddfd294b040d80433e608a1","0"
"2023-07-31 09:29:03","2023-07-31 09:39:14","0","Anonymized","100","611","1","2023-07-31 09:39:15","R_3QJbVaMg8L63YCn","","","","","Anonymized","Anonymized","anonymous","EN","1","63f78b48ccb76ade888c9891","2","2","2","4","Locations","Autopilot autonomous passenger there for legal reasons over-the-air updates","2","","","","5","1","","3","","57","4","","1","50","63f78b48ccb76ade888c9891","1"
"2023-07-31 09:27:39","2023-07-31 09:39:55","0","Anonymized","100","735","1","2023-07-31 09:39:56","R_2WMZORHMJsfbrZg","","","","","Anonymized","Anonymized","anonymous","EN","1","6138e0e705d9e4707bb79e09","2","2","2","4","Locations","Smart Summon, Smart Park. Full 360 camera view. ","1","5","70","Under Autopilot. While the rest of the website would indicate level 6, it does state that current software, the autopilot is NOT autonomous and still needs an active driver. ","","2","","3","","34","1","","1","17","6138e0e705d9e4707bb79e09","1"
"2023-07-31 09:30:46","2023-07-31 09:39:57","0","Anonymized","100","551","1","2023-07-31 09:39:57","R_11WPS4tHPdVIHkd","","","","","Anonymized","Anonymized","anonymous","EN","1","62d6e24cf74647ef51a16300","2","2","2","4","Locations","Autopilot, neural net, processing power, cameras, processing, autonomous, sensor, future","1","6","50","There is a video that shows the car completely driving itself.","","1","","3","","32","3","","1","9","62d6e24cf74647ef51a16300","0"
"2023-07-31 09:32:06","2023-07-31 09:40:09","0","Anonymized","100","482","1","2023-07-31 09:40:09","R_3ffJHT1eOfekrhw","","","","","Anonymized","Anonymized","anonymous","EN","1","5e5a6cb9bfb67b2554c37a0e","2","2","2","4","locations","I recall the website emphasising the visibility that the vehicle provides. ""Cameras"" were a phrase that caught my eye quite a bit. ","2","","","","4","2","","3","","28","4","","1","40","5e5a6cb9bfb67b2554c37a0e","1"
"2023-07-31 09:27:53","2023-07-31 09:40:38","0","Anonymized","100","765","1","2023-07-31 09:40:39","R_24BfCc6rbPrySiE","","","","","Anonymized","Anonymized","anonymous","EN","1","638144b112820e51c06fb151","2","2","1","2","Locations","Advanced Sensor Coverage","2","","","","1","1","","3","","54","3","","2","22","638144b112820e51c06fb151","0"
"2023-07-31 09:29:04","2023-07-31 09:40:44","0","Anonymized","100","700","1","2023-07-31 09:40:45","R_2DYbvMaWdI2GyDW","","","","","Anonymized","Anonymized","anonymous","EN","1","6488e429e530a1949174c9f4","2","2","2","4","Locations","the future of driving 
navigation on autopilot
summon
steering","2","","","","6","1","","1","","61","4","","1","19","6488e429e530a1949174c9f4","0"
"2023-07-31 09:31:15","2023-07-31 09:40:55","0","Anonymized","100","580","1","2023-07-31 09:40:56","R_DSLZXL5PSxkb3Md","","","","","Anonymized","Anonymized","anonymous","EN","1","6489db7cf28c81a0fe36111f","2","2","2","4","Locations","autopilot
if you don't enter a destination the car will check your calendar and drive you there
sensors
the car will drop you off and find parking
you can have the car find you and come pick you up","1","5","81","I can't remember exactly, it seemed to be woven into different sections","","2","","3","","59","6","","1","20","6489db7cf28c81a0fe36111f","1"
"2023-07-31 09:28:13","2023-07-31 09:41:43","0","Anonymized","100","809","1","2023-07-31 09:41:44","R_aarUayXVFmAHc5P","","","","","Anonymized","Anonymized","anonymous","EN","1","5fa17ddeabc188288bde81c8","2","2","2","4","Locations","autopilot driving needs more development  multiple camera views.  Future of driving.  Autosteer","1","2","39","Under the section titled Autopilot, it described several things that the Tesla could do without the driver but also talked about this requires much more testing and is something for the future when it is decisively proven that autopilot is far superior to human driving.","","1","","3","","61","4","","1","14","5fa17ddeabc188288bde81c8","0"
"2023-07-31 09:26:13","2023-07-31 09:42:30","0","Anonymized","100","976","1","2023-07-31 09:42:31","R_1OOWpSqi7rmaHzl","","","","","Anonymized","Anonymized","anonymous","EN","1","646347d6f98c9284d0227840","2","2","1","4","Locations","Future of Driving
Tesla cars come standard with advanced hardware capable of providing Autopilot features, and full self-driving capabilities—through software updates designed to improve functionality over time.","1","6","33","I see on the front page of the website","","1","","3","","51","4","","1","80","646347d6f98c9284d0227840","1"
"2023-07-31 09:32:20","2023-07-31 09:42:39","0","Anonymized","100","619","1","2023-07-31 09:42:39","R_3kEZ4JbOHrcBMnv","","","","","Anonymized","Anonymized","anonymous","EN","1","649edf7aadf1a3f85ff85b90","2","2","2","4","Locations","auto pilot
360 vision
future","2","","","","6","2","","3","","62","3","","1","5","649edf7aadf1a3f85ff85b90","1"
"2023-07-31 09:33:22","2023-07-31 09:42:46","0","Anonymized","100","564","1","2023-07-31 09:42:46","R_3lL9PEKEWbNDijj","","","","","Anonymized","Anonymized","anonymous","EN","1","60e882163e8eeeee634a8bf7","2","1","1","1","Locations","Processing power increased 40X","2","","","","6","2","","3","","58","3","","2","20","60e882163e8eeeee634a8bf7","1"
"2023-07-31 09:33:16","2023-07-31 09:43:03","0","Anonymized","100","586","1","2023-07-31 09:43:03","R_3sc3cOVMbUtBKMs","","","","","Anonymized","Anonymized","anonymous","EN","1","629f4800dfb8c7c86f69a67e","2","2","2","4","Locations","Automated, Eight cameras for accuracy, Next innovative automobile, Full electric","1","4","24","It was on the section of the site that said Autopilot, it explains what the autopilot is responsible for.","","1","","1","","26","3","","2","60","629f4800dfb8c7c86f69a67e","1"
"2023-07-31 09:30:40","2023-07-31 09:43:21","0","Anonymized","100","760","1","2023-07-31 09:43:21","R_216U5Q1GgEq9Ivp","","","","","Anonymized","Anonymized","anonymous","EN","1","63d1520c5f3acac26bb4509c","2","2","2","4","locations","Tesla Vision, Self-Driving Capability, Join the Team","1","5","50","I just went by the videos that were displayed on the website","","1","","3","","77","3","","1","50","63d1520c5f3acac26bb4509c","1"
